Experimento,Vectorizador,Modelo,accuracy,f1_macro,precision_macro,recall_macro
Enriquecido_TFIDF_LR,TF-IDF,LogisticRegression,0.4240246406570842,0.3346626739036553,0.35761093946394507,0.37428861641152145
Enriquecido_BOW_LR,BoW,LogisticRegression,0.44969199178644764,0.35663071408755265,0.37564017809013844,0.37516650946818547
Enriquecido_OHE_LR,OHE,LogisticRegression,0.4537987679671458,0.3635611104169375,0.38106958851769285,0.3970219352342257
Enriquecido_TFIDF_NB,TF-IDF,NaiveBayes,0.3675564681724846,0.10750750750750751,0.07351129363449692,0.2
Enriquecido_TFIDF_RF,TF-IDF,RandomForest,0.39835728952772076,0.2546311745675231,0.3480148670838326,0.29830806065442933
Enriquecido_TFIDF_NN,TF-IDF,NeuralNetwork,0.3737166324435318,0.27891568695216234,0.25398494756149265,0.35148322813127286
Enriquecido_BOW_NB,BoW,NaiveBayes,0.40965092402464065,0.28081783252484843,0.3314796079832914,0.3054405185131442
Enriquecido_OHE_NN,OHE,NeuralNetwork,0.4209445585215606,0.31241148358735715,0.3468360655737705,0.383622820382597
EnriquecidoNoStop_TFIDF_LR,TF-IDF,LogisticRegression,0.4209445585215606,0.3320008906611237,0.3582767516903354,0.3660320684901691
EnriquecidoNoStop_TFIDF_NB,TF-IDF,NaiveBayes,0.36960985626283366,0.11503570147282464,0.3737384140061792,0.20371472103315677
EnriquecidoNoStop_BOW_RF,BoW,RandomForest,0.4024640657084189,0.25102260423986117,0.3343123733002563,0.3006495924931679
EnriquecidoStem_TFIDF_LR,TF-IDF,LogisticRegression,0.4240246406570842,0.3346626739036553,0.35761093946394507,0.37428861641152145
EnriquecidoStemNoStop_TFIDF_LR,TF-IDF,LogisticRegression,0.4209445585215606,0.3320008906611237,0.3582767516903354,0.3660320684901691
EnriquecidoStemNoStop_TFIDF_NB,TF-IDF,NaiveBayes,0.36960985626283366,0.11503570147282464,0.3737384140061792,0.20371472103315677
Simple_TFIDF_LR,TF-IDF,LogisticRegression,0.41786447638603696,0.3267306729189261,0.34523969821617106,0.3562093400082227
Simple_TFIDF_NB,TF-IDF,NaiveBayes,0.3798767967145791,0.14100536521293885,0.3849935011225333,0.2145125637863068
Simple_TFIDF_RF,TF-IDF,RandomForest,0.40451745379876797,0.24338706923948478,0.3320862151637516,0.2773019903746161
Simple_BOW_NB,BoW,NaiveBayes,0.4055441478439425,0.2779013556864328,0.3238780960671247,0.2997755689375801
Enriquecido_TFIDF-2k_LR,TF-IDF,LogisticRegression,0.419917864476386,0.33469477406472864,0.35933748612953875,0.3698502986771143
Enriquecido_TFIDF-10k_LR,TF-IDF,LogisticRegression,0.4260780287474333,0.3368007202144807,0.3598172157299476,0.3804440252484945
